HEAD_0, HEAD_1, HEAD_2, HEAD_3
-75.879997, 241.589996, 37438.000000, -5930.000000
-75.519997, 240.369995, 37520.000000, -5889.000000
-75.150002, 239.199997, 37598.000000, -5861.000000
-74.779999, 238.089996, 37670.000000, -5847.000000
-74.400002, 237.020004, 37739.000000, -5843.000000
-74.019997, 236.009995, 37803.000000, -5851.000000
-73.639999, 235.039993, 37863.000000, -5867.000000
-73.250000, 234.110001, 37917.000000, -5894.000000
-72.860001, 233.220001, 37968.000000, -5928.000000
-72.459999, 232.369995, 38013.000000, -5973.000000
-72.059998, 231.550003, 38054.000000, -6025.000000
-71.650002, 230.770004, 38088.000000, -6088.000000
-71.250000, 230.020004, 38120.000000, -6155.000000
-70.839996, 229.300003, 38146.000000, -6229.000000
-70.430000, 228.600006, 38166.000000, -6312.000000
-70.010002, 227.940002, 38182.000000, -6401.000000
-69.599998, 227.289993, 38194.000000, -6493.000000
-69.180000, 226.669998, 38200.000000, -6593.000000
-68.760002, 226.070007, 38203.000000, -6694.000000
-68.339996, 225.500000, 38198.000000, -6803.000000
-67.919998, 224.940002, 38191.000000, -6914.000000
-67.489998, 224.399994, 38176.000000, -7033.000000
-67.070000, 223.880005, 38158.000000, -7153.000000
-66.639999, 223.380005, 38134.000000, -7279.000000
-66.209999, 222.889999, 38105.000000, -7408.000000
-65.779999, 222.410004, 38072.000000, -7539.000000
-65.349998, 221.949997, 38035.000000, -7672.000000
-64.910004, 221.520004, 37990.000000, -7811.000000
-64.480003, 221.080002, 37945.000000, -7948.000000
-64.040001, 220.660004, 37891.000000, -8091.000000
-63.610001, 220.259995, 37833.000000, -8236.000000
-63.169998, 219.860001, 37770.000000, -8382.000000
-62.730000, 219.479996, 37702.000000, -8530.000000
-62.290001, 219.100006, 37630.000000, -8680.000000
-61.849998, 218.729996, 37552.000000, -8833.000000
-61.410000, 218.380005, 37472.000000, -8984.000000
-60.970001, 218.029999, 37385.000000, -9139.000000
-60.529999, 217.699997, 37296.000000, -9292.000000
-60.080002, 217.360001, 37202.000000, -9448.000000
-59.639999, 217.039993, 37102.000000, -9605.000000
-59.189999, 216.729996, 36997.000000, -9763.000000
-58.750000, 216.410004, 36889.000000, -9921.000000
-58.299999, 216.119995, 36775.000000, -10080.000000
-57.860001, 215.820007, 36659.000000, -10239.000000
-57.410000, 215.539993, 36538.000000, -10397.000000
-56.970001, 215.259995, 36414.000000, -10556.000000
-56.509998, 214.979996, 36284.000000, -10717.000000
-56.070000, 214.710007, 36152.000000, -10875.000000
-55.619999, 214.449997, 36013.000000, -11037.000000
-55.169998, 214.190002, 35874.000000, -11195.000000
-54.720001, 213.929993, 35728.000000, -11356.000000
-54.270000, 213.679993, 35580.000000, -11513.000000
-53.820000, 213.440002, 35426.000000, -11674.000000
-53.369999, 213.199997, 35270.000000, -11833.000000
-52.910000, 212.960007, 35110.000000, -11992.000000
-52.470001, 212.729996, 34950.000000, -12147.000000
-52.009998, 212.500000, 34783.000000, -12305.000000
-51.560001, 212.270004, 34613.000000, -12462.000000
-51.110001, 212.050003, 34439.000000, -12619.000000
-50.650002, 211.839996, 34262.000000, -12774.000000
-50.200001, 211.630005, 34080.000000, -12929.000000
-49.740002, 211.410004, 33894.000000, -13086.000000
-49.290001, 211.210007, 33707.000000, -13240.000000
-48.830002, 211.009995, 33518.000000, -13393.000000
-48.380001, 210.800003, 33327.000000, -13545.000000
-47.919998, 210.610001, 33128.000000, -13699.000000
-47.470001, 210.410004, 32930.000000, -13850.000000
-47.009998, 210.220001, 32730.000000, -13999.000000
-46.549999, 210.029999, 32522.000000, -14151.000000
-46.099998, 209.839996, 32315.000000, -14299.000000
-45.639999, 209.660004, 32101.000000, -14449.000000
-45.189999, 209.479996, 31889.000000, -14595.000000
-44.720001, 209.300003, 31671.000000, -14744.000000
-44.270000, 209.130005, 31455.000000, -14888.000000
-43.810001, 208.949997, 31231.000000, -15035.000000
-43.360001, 208.770004, 31010.000000, -15177.000000
-42.900002, 208.610001, 30780.000000, -15322.000000
-42.439999, 208.440002, 30549.000000, -15465.000000
-41.980000, 208.270004, 30318.000000, -15606.000000
-41.520000, 208.110001, 30082.000000, -15748.000000
-41.060001, 207.949997, 29844.000000, -15889.000000
-40.599998, 207.779999, 29603.000000, -16029.000000
-40.139999, 207.630005, 29359.000000, -16168.000000
-39.689999, 207.470001, 29117.000000, -16305.000000
-39.220001, 207.309998, 28868.000000, -16442.000000
-38.759998, 207.160004, 28617.000000, -16579.000000
-38.299999, 207.000000, 28364.000000, -16715.000000
-37.840000, 206.850006, 28107.000000, -16850.000000
-37.380001, 206.699997, 27848.000000, -16984.000000
-36.919998, 206.550003, 27587.000000, -17117.000000
-36.459999, 206.410004, 27324.000000, -17249.000000
-36.000000, 206.259995, 27059.000000, -17381.000000
-35.540001, 206.119995, 26790.000000, -17511.000000
-35.080002, 205.970001, 26520.000000, -17641.000000
-34.610001, 205.830002, 26246.000000, -17769.000000
-34.150002, 205.690002, 25970.000000, -17897.000000
-33.689999, 205.550003, 25692.000000, -18023.000000
-33.220001, 205.410004, 25407.000000, -18151.000000
-32.759998, 205.270004, 25124.000000, -18276.000000
-32.299999, 205.130005, 24839.000000, -18399.000000
-31.840000, 205.000000, 24551.000000, -18522.000000
-31.379999, 204.869995, 24261.000000, -18643.000000
